Click Date	Affiliate ID	Affiliate Name	Advertiser ID	Advertiser Name	Campaign ID	Campaign	Creative	Sub ID	Sub ID 2	Sub ID 3	Sub ID 4	Sub ID 5	IP Address	User Agent	Referrer	Paid	Disposition	Redirect URL	Request URL	Request ID	Country	Total Clicks	Region	Language	Provider Name	Device	Operating System	OS (Major Version)	OS (Minor Version)	Browser	Browser (Major Version)	Browser (Minor Version)	UDID	Click ID	Price Paid	Price Received	Visitor ID	Tracking ID
4/19/17 4:24:56 PM	38	ESPs	5	Banner Edge Media	6430	SBC [01153] - Internal - Offer 242 - V4	305 - V1 	RedCappi	Apr-17	EDU2D-B	PAd-Aol	wM8TLBF7L3Q87DP4HN1B8AGG	73.106.73.123	"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1"	http://ck.inboxbio.com/redirect?target=BASE64aHR0cDovL3hlbnRyay5jb20vP2E9MzgmYz0zMDUmczE9UmVkQ2FwcGkmczI9NC0xNyZzMz1FRFUyRC1CJnM0PVBBZC1Bb2wmczU9d004VExCRjdMM1E4N0RQNEhOMUI4QUdH&ts=1492637096474&hash=iABPM8UmOAIfDGnWGG87vMPtydJTwoX3NWmeo32JaS4&rm=D			http://stblvd.com/?yte=s8FtcQ2PLO1PDOk9KhONx0h9kI11Uqpe&s1=#affid#&s2=#reqid#	http://xentrk.com/?a=38&c=305&s1=RedCappi&s2=4-17&s3=EDU2D-B&s4=PAd-Aol&s5=wM8TLBF7L3Q87DP4HN1B8AGG	1684590	US	1	Georgia	ENGLISH	comcast cable communications inc.	iPhone	iOS	10	10.2	Mobile Safari	10	10		1793943			1508568	1399148
4/19/17 4:24:52 PM	37	"Blue Modo Media1, Inc."	5	Banner Edge Media	6223	Search Best Colleges - Email Only (Exclusive) [01153A] - Aff 37 - Offer 252	330 - Landing Page V4	AW-E1-sbc-0419-1				21890684	71.83.161.46	"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"				http://sescstm.com/?eqi=3dPvaP5B4jcfs33We2uAT0h9kI11Uqpe&s1=#affid#&s2=#reqid#	http://xentrk.com/?a=37&c=330&s1=AW-E1-sbc-0419-1&s5=21890684	1684587	US	1	California	ENGLISH	charter communications	iPhone	iOS	8	8.4	Mobile Safari	8	8.0.2		1793942			1508565	1399147
4/19/17 4:23:29 PM	81	tanveer ahmed	5	Banner Edge Media	15648	EDU Degree Resources - Email Only (Exclusive) [01321A] - Aff 81 - Offer 395	512						24.45.224.171	Mozilla/5.0 (Windows NT 6.0; rv:46.0) Gecko/20100101 Firefox/46.0				https://sescstm.com/?lnwk=QYQus4PCXO6ynEU%2b448y4VJVbfeXMyEn&s1=#affid#&s2=#reqid#	https://xentrk.com/?a=81&c=512&s1=	1684544	US	1	New York	ENGLISH	optimum online		Windows	Windows Vista		Firefox	46	46		1793939			1508526	1399146
4/19/17 4:23:27 PM	44	"Blue Modo Media2, Inc."	5	Banner Edge Media	13983	EDU Degree Resources - Email Only (Exclusive) [01321A] - Aff 44 - Offer 395	512	AWTRA3				21890624	50.86.51.41	"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"				http://sescstm.com/?r3x=QiezoyfHfGBGtPao%2ffDfB%2bXrNZO8EBz0&s1=#affid#&s2=#reqid#	https://xentrk.com/?a=44&c=512&s1=AWTRA3&s5=21890624	1684541	US	1	Mississippi	ENGLISH	c spire fiber	iPhone	iOS	10	10	Mobile Safari	10	10		1793938			1508523	1399145
4/19/17 4:23:04 PM	44	"Blue Modo Media2, Inc."	1	Xena Interactive	-1	Global Redirect	512	jsaw-4-find my edu degree				21890598	119.160.98.93	"Mozilla/5.0 (Linux; Android 5.1.1; SM-J500H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36"			Rule Target Mismatch	http://www.youtube.com	https://xentrk.com/?a=44&c=512&s1=jsaw-4-find%20my%20edu%20degree&s5=21890598	1684533	PK	1	Punjab	ENGLISH	mobilink	Galaxy J5	Android (Mobile)	5	5.1	Chrome	57	57		1793937			1508515	1399144
4/19/17 4:22:38 PM	37	"Blue Modo Media1, Inc."	6	RevenueAds LLC	-1	College Info Funnel (Non-Direct) [01229]	395	ups	395	1684083	aff37		73.6.53.189	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30"			Affiliate Not Authorized for Campaign	http://www.youtube.com	http://xentrk.com/?a=37&c=395&s1=ups&s2=395&s3=1684083&s4=aff37	1684083	US	1	Texas	ENGLISH	comcast cable communications inc.		Mac OS	Yosemite (10.10)		Safari	10	10		1793934			1508085	1399143
4/19/17 4:22:17 PM	27	Savicom	5	Banner Edge Media	3819	EDU Offer [01026] - Internal  - Offer 13	591 - EDU11H	Savicom2	04-19-2017	EDU11H	YahooOpeners3	w9GM5LAROEOQADP4H2IK1Q8K	99.120.103.53	"Mozilla/5.0 (Linux; U; Android 4.4.2; en-us; SAMSUNG-SGH-I317 Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	http://ck.inboxbio.com/redirect?target=BASE64aHR0cDovL3hlbnRyay5jb20vP2E9MjcmYz01OTEmczE9U2F2aWNvbTImczI9MDQtMTktMjAxNyZzMz1FRFUxMUgmczQ9WWFob29PcGVuZXJzMyZzNT13OUdNNUxBUk9FT1FBRFA0SDJJSzFROEs&ts=1492636935750&hash=Q4J0WfacTE63cgthwd5-MzoDXnpCDmuL3WGLwoh2			http://stblvd.com/?es4v=gqLZZIF4XOS5lA4yRHDx2OXrNZO8EBz0&s1=#affid#&s2=#reqid#	http://xentrk.com/?a=27&c=591&s1=Savicom2&s2=04-19-2017&s3=EDU11H&s4=YahooOpeners3&s5=w9GM5LAROEOQADP4H2IK1Q8K	1684508	US	1	California	ENGLISH	att internet services	Galaxy Note II	Android (Mobile)	4	4.4	Android Webkit	Other			1793932			1508490	1399142
4/19/17 4:22:08 PM	44	"Blue Modo Media2, Inc."	5	Banner Edge Media	13983	EDU Degree Resources - Email Only (Exclusive) [01321A] - Aff 44 - Offer 395	512	aw-car-10-find my edu degree				21890536	99.32.193.27	"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"				http://sescstm.com/?r3x=QiezoyfHfGBGtPao%2ffDfB%2bXrNZO8EBz0&s1=#affid#&s2=#reqid#	https://xentrk.com/?a=44&c=512&s1=aw-car-10-find%20my%20edu%20degree&s5=21890536	1684504	US	1	Illinois	ENGLISH	att internet services	iPhone	iOS	10	10	Mobile Safari	10	10		1793931			1508486	1399141
4/19/17 4:21:50 PM	81	tanveer ahmed	5	Banner Edge Media	15648	EDU Degree Resources - Email Only (Exclusive) [01321A] - Aff 81 - Offer 395	512						173.56.90.218	"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"				https://sescstm.com/?lnwk=QYQus4PCXO6ynEU%2b448y4VJVbfeXMyEn&s1=#affid#&s2=#reqid#	https://xentrk.com/?a=81&c=512&s1=	1684493	US	1	New York	ENGLISH	mci communications services inc. dba verizon business		Windows	Windows Vista		Safari	5	5		1793930			1508475	1399140
																																						
