"Click Date","Affiliate ID","Affiliate Name","Advertiser ID","Advertiser Name","Campaign ID","Campaign","Creative","Sub ID","Sub ID 2","Sub ID 3","Sub ID 4","Sub ID 5","IP Address","User Agent","Referrer","Paid","Disposition","Redirect URL","Request URL","Request ID","Country","Total Clicks","Region","Language","Provider Name","Device","Operating System","OS (Major Version)","OS (Minor Version)","Browser","Browser (Major Version)","Browser (Minor Version)","UDID","Click ID","Price Paid","Price Received","Visitor ID","Tracking ID"
"4/19/17 4:33:14 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","521 - EDU11C","EETA","4-19","EDU11C","Yahoo10K-2","w2HHTAUK3EB3GDP41M99BN64","172.58.39.8","Mozilla/5.0 (Linux; Android 7.0; LG-H918 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTIxJnMxPUVFVEEmczI9NC0xOSZzMz1FRFUxMUMmczQ9WWFob28xMEstMiZzNT13MkhIVEFVSzNFQjNHRFA0MU05OUJONjQ&ts=1492637592209&hash=d5qiPvwnpVu3xQNXoRVKhlZhVVeQEjzTOPni3lyR_io&rm=D",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=521&s1=EETA&s2=4-19&s3=EDU11C&s4=Yahoo10K-2&s5=w2HHTAUK3EB3GDP41M99BN64",1684844,"US","1","California","ENGLISH","t-mobile usa inc.","Generic Android","Android (Mobile)","7","7.0","Chrome","57","57.0",1793987,1508803,1399182
"4/19/17 4:25:20 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","564 - EDU2D-HJ","EETA","4-19","EDU2D-HJ","YahooFX17K","wFD81OK6K15I7DP41QFHSI27","172.58.11.67","Mozilla/5.0 (Linux; Android 6.0.1; LGMS428 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTY0JnMxPUVFVEEmczI9NC0xOSZzMz1FRFUyRC1ISiZzND1ZYWhvb0ZYMTdLJnM1PXdGRDgxT0s2SzE1STdEUDQxUUZIU0kyNw&ts=1492637119211&hash=tWJ4gRMhgEBJOXzmHyk1kvYFiwhAcY6aHNbCBHRu4Sw&rm=D",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=564&s1=EETA&s2=4-19&s3=EDU2D-HJ&s4=YahooFX17K&s5=wFD81OK6K15I7DP41QFHSI27",1684601,"US","1","Florida","ENGLISH","t-mobile usa inc.","Generic Android","Android (Mobile)","6","6.0","Chrome","56","56.0",,1793948,,,1508578,1399150
"4/19/17 4:18:34 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","589 - EDU3M","EETA","4-19","EDU3M","YahooChanceAll","w1EI1N457A27CDP4HJ0ANBEE","104.220.110.70","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTg5JnMxPUVFVEEmczI9NC0xOSZzMz1FRFUzTSZzND1ZYWhvb0NoYW5jZUFsbCZzNT13MUVJMU40NTdBMjdDRFA0SEowQU5CRUU&ts=1492636713907&hash=n1Vtlc1YvlXclJXNdDp46_D43RhMmpzw2UdbhcLwYpA&rm=D",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=589&s1=EETA&s2=4-19&s3=EDU3M&s4=YahooChanceAll&s5=w1EI1N457A27CDP4HJ0ANBEE",1684394,"US","1","California","ENGLISH","vanoppen.biz llc","iPhone","iOS","9","9.0","Mobile Safari","9","9.0",,1793919,,,1508382,1399131
"4/19/17 4:03:27 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","541 - EDU2D-D","EETA","4-13","EDU2D-D","Yahoo10K","wOSAU4UINRV9UDP4H9ONITBM","76.23.138.17","Mozilla/5.0 (Linux; Android 4.4.2; SM-T210R Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Safari/537.36","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTQxJnMxPUVFVEEmczI9NC0xMyZzMz1FRFUyRC1EJnM0PVlhaG9vMTBLJnM1PXdPU0FVNFVJTlJWOVVEUDRIOU9OSVRCTQ&ts=1492635806320&hash=E9fK730GyYxjI1DdhzQdzD9z6jR8pxcJhEjMa025WwE&rm=DJ",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=541&s1=EETA&s2=4-13&s3=EDU2D-D&s4=Yahoo10K&s5=wOSAU4UINRV9UDP4H9ONITBM",1683950,"US","1","Connecticut","ENGLISH","comcast cable communications inc.","Galaxy Tab 3 7.0","Android (Mobile)","4","4.4","Chrome","57","57.0",,1793855,,,1507961,1399080
"4/19/17 4:02:46 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","589 - EDU3M","EETA","4-19","EDU3M","YahooChanceAll","w6HCFGDCLE2A3DP4HNUFLBIC","172.56.6.103","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTg5JnMxPUVFVEEmczI9NC0xOSZzMz1FRFUzTSZzND1ZYWhvb0NoYW5jZUFsbCZzNT13NkhDRkdEQ0xFMkEzRFA0SE5VRkxCSUM&ts=1492635765775&hash=GkYqoL8BbVlHtpW6WOgpO-AdWglwgOo42wN_qzuGdEo&rm=D","254460",,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=589&s1=EETA&s2=4-19&s3=EDU3M&s4=YahooChanceAll&s5=w6HCFGDCLE2A3DP4HNUFLBIC",1683926,"US","1","Texas","ENGLISH","t-mobile usa inc.","iPhone","iOS","10","10.0","Mobile Safari","10","10.0",,1793850,,,1507937,1399076
"4/19/17 3:54:28 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","541 - EDU2D-D","EETA","4-19","EDU2D-D","Yahoo10K-3","wFTOK9VGK1HQNCP41U4OK514","76.172.104.173","Mozilla/5.0 (Linux; Android 6.0.1; SM-G920R4 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTQxJnMxPUVFVEEmczI9NC0xOSZzMz1FRFUyRC1EJnM0PVlhaG9vMTBLLTMmczU9d0ZUT0s5VkdLMUhRTkNQNDFVNE9LNTE0&ts=1492635266615&hash=AYN9Xc856tRRxdvBCUZ38S0bOJupHR-iKbBkfNBe7SQ&rm=D","254458",,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=541&s1=EETA&s2=4-19&s3=EDU2D-D&s4=Yahoo10K-3&s5=wFTOK9VGK1HQNCP41U4OK514",1683659,"US","1","California","ENGLISH","time warner cable internet llc","Generic Android","Android (Mobile)","6","6.0","Chrome","57","57.0",,1793810,,,1507681,1399042
"4/19/17 3:39:12 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","512","EETA","3-23","EDU1B","Yahoo5K-1",,"207.46.13.2","msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)",,,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=512&s1=EETA&s2=3-23&s3=EDU1B&s4=Yahoo5K-1",1683161,"US","1","Washington",,"microsoft corp","Bot","Other","Other","",,,,,1793724,,,1507201,1398966
"4/19/17 3:28:41 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","550 - EDU2D-E","EETA","4-19","EDU2D-E","YahooFX12K","w8QJ8MJFPPGPDCP41VF57G6R","8.25.104.5","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTUwJnMxPUVFVEEmczI9NC0xOSZzMz1FRFUyRC1FJnM0PVlhaG9vRlgxMksmczU9dzhRSjhNSkZQUEdQRENQNDFWRjU3RzZS&ts=1492633720584&hash=WVldfvRYq_Ts6Nlc6UKxgT26WvKAQUNakZXAbYo_PYs&rm=DJ",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=550&s1=EETA&s2=4-19&s3=EDU2D-E&s4=YahooFX12K&s5=w8QJ8MJFPPGPDCP41VF57G6R",1682741,"US","1","Arizona","ENGLISH","level 3 communications inc.","iPhone","iOS","10","10.0","Mobile Safari","10","10.0",,1793648,,,1506809,1398909
"4/19/17 3:25:27 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","512","EETA","3-19","EDU11H","YahooChance4",,"172.58.14.181","Mozilla/5.0 (Linux; Android 4.4.4; Z970 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36","http://schoolsgoals.com/class/",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=512&s1=EETA&s2=3-19&s3=EDU11H&s4=YahooChance4",1682638,"US","1","Florida","ENGLISH","t-mobile usa inc.","Olympia","Android (Mobile)","4","4.4","Chrome","57","57.0",,1793633,,,1506713,1398896
"4/19/17 3:13:08 PM",58,"EE - Alpha",5,"Banner Edge Media",13931,"EDU Degree Resources - Email Only (Exclusive) [01321A] - Internal - Offer 395","564 - EDU2D-HJ","EETA","4-19","EDU2D-HJ","YahooFX17K","wR8EA0T4NUBK0CP4HR7RE8F6","98.166.41.155","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2683.0 Safari/537.36","http://ck.inboxbio.com/redirect?target=BASE64aHR0cHM6Ly94ZW50cmsuY29tLz9hPTU4JmM9NTY0JnMxPUVFVEEmczI9NC0xOSZzMz1FRFUyRC1ISiZzND1ZYWhvb0ZYMTdLJnM1PXdSOEVBMFQ0TlVCSzBDUDRIUjdSRThGNg&ts=1492632786591&hash=l1gRt0EtI-_qa83vtAyvwYPphAowEI0LNi8pVCrOzeQ&rm=DJ",,,"http://stblvd.com/?nc2u=vAvz38Se0z6elMKfcIK7QFJVbfeXMyEn&s1=#affid#&s2=#reqid#","https://xentrk.com/?a=58&c=564&s1=EETA&s2=4-19&s3=EDU2D-HJ&s4=YahooFX17K&s5=wR8EA0T4NUBK0CP4HR7RE8F6",1682185,"US","2","Virginia","ENGLISH","cox communications inc.",,"Windows","Other","","Chrome","51","51.0",,1793553,,,1506284,1398836
